galaxy,file,M_b,R_scale,s_rho,s_r,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
NGC0024,NGC0024_rotmod.dat,5306442823.720597,2.34,9.99999999999998,0.3066172878402926,78152465.08445594,1.799738535505147,54.13589788354591,2.0050332549461447,20297668.60732429,6.288578586779764,13.68878418696752,0.506992006924723,29,qfst_hybrid_plots\NGC0024_hybrid_compare.png
NGC0055,NGC0055_rotmod.dat,10777708669.94821,7.37,0.7066546620795623,0.9389954343187894,5834935.05897908,5.511581814940534,13.851514205452675,0.7290270634448777,67082.15873158496,199.9999999999995,48.59848488887694,2.5578149941514177,21,qfst_hybrid_plots\NGC0055_hybrid_compare.png
NGC0100,NGC0100_rotmod.dat,4646746880.074587,3.42,1.052750161768068,1.1180241438272258,8143155.605905374,6.562419064638927,6.630959780625088,0.3489978831907941,106285.68690598903,199.99999999868984,35.01149284679158,1.842710149831136,21,qfst_hybrid_plots\NGC0100_hybrid_compare.png
NGC0247,NGC0247_rotmod.dat,12116521889.19235,8.07,3.993713774450149,0.3484302610093209,33277672.222688045,2.045166376924025,70.31103246257115,2.9296263526071313,996201.4723863343,30.6578792215873,13.545409223557721,0.5643920509815717,26,qfst_hybrid_plots\NGC0247_hybrid_compare.png
NGC0289,NGC0289_rotmod.dat,119646169427.40201,5.43,0.44446314145312654,1.7706751708655246,4423933.606314784,10.393257214279327,41.502338931822145,1.5962438050700825,300293.7207175283,84.88871363388222,47.78439525285744,1.8378613558791324,28,qfst_hybrid_plots\NGC0289_hybrid_compare.png
NGC0300,NGC0300_rotmod.dat,4694201351.106131,4.08,2.728175339715024,0.538518140522444,21119431.27835591,3.1609171693921168,8.800979675993645,0.38265129026059325,152962.82430444445,181.20609521298755,14.43793468199504,0.6277362905215235,25,qfst_hybrid_plots\NGC0300_hybrid_compare.png
NGC0801,NGC0801_rotmod.dat,410370537136.39825,17.65,0.49175243671676666,0.8751438352357878,5386029.782265348,5.13679478243915,263.7151907212952,23.974108247390472,0.12100645671307575,0.05000137668706506,270.85388397471075,24.62308036133734,13,qfst_hybrid_plots\NGC0801_hybrid_compare.png
NGC0891,NGC0891_rotmod.dat,159580835523.76965,3.24,0.4283215600825553,0.2611405283199826,4359652.8986940235,1.5328055221871517,705.0499916804782,44.06562448002989,3.977702532429248,0.050000075715133964,698.3545141658157,43.64715713536348,18,qfst_hybrid_plots\NGC0891_hybrid_compare.png
NGC1003,NGC1003_rotmod.dat,16762544966.45825,6.22,0.5907185616250312,1.3356735714149883,5047756.462370343,7.839946710974334,29.793653737559396,0.8762839334576293,100366.5926190028,180.1253014257929,56.013812031541214,1.6474650597512122,36,qfst_hybrid_plots\NGC1003_hybrid_compare.png
NGC1090,NGC1090_rotmod.dat,98062760918.31041,8.17,0.26011991912966065,2.0866279870239364,2549413.7175185587,12.247792105794893,113.04731743550701,5.138514428886682,71569.77937345875,199.99999996998503,130.73470250538404,5.942486477517456,24,qfst_hybrid_plots\NGC1090_hybrid_compare.png
