galaxy,file,M_b,R_scale,rho0_qfst,r_core_qfst,chi2_qfst,chi2red_qfst,rho_s_nfw,r_s_nfw,chi2_nfw,chi2red_nfw,N_points,plot
ESO116-G012,ESO116-G012_rotmod.dat,7532770411.025998,3.68,8030692.330967313,5.869657735810989,114.94519665209064,8.841938204006972,186397.73539076195,199.99999999999517,31.20709599725407,2.4005458459426205,15,qfst_final_plots\ESO116-G012_final_compare.png
ESO444-G084,ESO444-G084_rotmod.dat,290668575.4477334,1.81,6237774.643083939,5.869657735810931,268.410837921658,53.6821675843316,2266914.1074370486,21.182336493579474,2.9197473838083985,0.5839494767616797,7,qfst_final_plots\ESO444-G084_final_compare.png
ESO563-G021,ESO563-G021_rotmod.dat,382574511234.0,12.06,10893259.468826182,5.869657735811085,416.2730858585432,14.8668959235194,252957.1359725287,199.99999999741325,329.7666828860283,11.777381531643869,30,qfst_final_plots\ESO563-G021_final_compare.png
F561-1,F561-1_rotmod.dat,7412943144.505325,8.06,8020702.763058763,5.869657735811053,180.93494694192827,45.23373673548207,0.012103925182600506,0.05000000053546684,3.7273968873168943,0.9318492218292236,6,qfst_final_plots\F561-1_final_compare.png
F563-1,F563-1_rotmod.dat,8113062367.671552,11.84,8077086.912816948,5.869657735811083,57.90165452654087,3.860110301769391,2586996.801984158,20.591104113503086,16.020261421419985,1.0680174280946657,17,qfst_final_plots\F563-1_final_compare.png
F563-V1,F563-V1_rotmod.dat,1740395505.430603,5.24,7167397.438479016,5.869657735811018,177.13827525037524,44.28456881259381,209612028.76372093,0.09443791269676664,0.8563793875862966,0.21409484689657415,6,qfst_final_plots\F563-V1_final_compare.png
F563-V2,F563-V2_rotmod.dat,7286328539.571201,7.86,8009984.202437025,5.86965773581105,68.62366515920417,8.57795814490052,2206827.0095540094,32.862942715387284,8.367061142683367,1.0458826428354209,10,qfst_final_plots\F563-V2_final_compare.png
F565-V2,F565-V2_rotmod.dat,2217729614.668812,6.29,7303517.002242614,5.869657735811032,14.475194342603352,2.8950388685206705,132468.53765571868,199.9999999991711,1.9792251227226803,0.3958450245445361,7,qfst_final_plots\F565-V2_final_compare.png
F567-2,F567-2_rotmod.dat,3743563179.6898484,7.67,7606441.036699492,5.869657735811048,29.163205653808642,9.721068551269548,869672.6434934594,12.611387802429897,1.2266769752832587,0.4088923250944196,5,qfst_final_plots\F567-2_final_compare.png
F568-1,F568-1_rotmod.dat,14592068479.957207,9.24,8453627.937146118,5.869657735811064,109.50237046033871,10.950237046033871,1466538.95827294,47.641209831983005,8.423914468445801,0.8423914468445801,12,qfst_final_plots\F568-1_final_compare.png
