galaxy,chi2,N,chi2_red
ESO444-G084,28.972821835332724,7,5.7945643670665445
UGC06614,63.02354793045775,13,5.729413448223432
D512-2,10.995277912197638,4,5.497638956098819
NGC3769,53.215350408793874,12,5.321535040879388
NGC1090,113.04731743550701,24,5.138514428886682
NGC3953,28.178430330277987,8,4.696405055046331
NGC7814,72.83882970844469,18,4.552426856777793
NGC5985,135.69150900285229,33,4.377145451704912
UGC05721,85.12703159640394,23,4.05366817125733
UGC06667,25.812790381126135,9,3.6875414830180193
UGC00191,25.131879585331625,9,3.590268512190232
UGC06818,21.195353536936945,8,3.5325589228228242
NGC4010,34.38587741370351,12,3.438587741370351
UGC08699,122.84897351151494,41,3.1499736797824345
UGC08550,27.860350679923314,11,3.0955945199914794
NGC2683,27.421798559688405,11,3.046866506632045
NGC1705,36.253396668719745,14,3.0211163890599786
UGC04305,60.311417339128894,22,3.0155708669564447
NGC6503,85.52136267399347,31,2.9490125059997747
NGC0247,70.31103246257115,26,2.9296263526071313
NGC4013,93.75103382289723,36,2.7573833477322713
UGC08837,16.51139442609866,8,2.7518990710164437
UGCA442,16.437023265464244,8,2.739503877577374
NGC4138,13.532273798845605,7,2.706454759769121
UGC07261,13.46052945548349,7,2.692105891096698
F574-2,7.960283519632822,5,2.653427839877607
UGC10310,12.857071130119824,7,2.5714142260239647
UGC05716,24.369349134294186,12,2.4369349134294187
UGC05918,14.566356214040967,8,2.4277260356734947
UGC06628,12.042995693870047,7,2.4085991387740093
NGC2998,25.96350869177143,13,2.360318971979221
NGC4559,70.39394286258758,32,2.3464647620862524
UGC11820,18.449461883718392,10,2.306182735464799
F579-V1,27.390427480997516,14,2.2825356234164595
DDO168,17.41840693324538,10,2.1773008666556724
NGC0024,54.13589788354591,29,2.0050332549461447
F561-1,7.707434054117084,6,1.926858513529271
UGC08286,27.57122947031293,17,1.8380819646875286
DDO170,10.504448909293215,8,1.7507414848822025
ESO079-G014,22.476119379612346,15,1.7289322599701804
UGC11914,107.38322916262332,65,1.704495700994021
D631-7,23.195589551659864,16,1.6568278251185617
NGC6015,67.98322449549023,44,1.618648202273577
UGC07690,8.003442819146324,7,1.6006885638292647
NGC0289,41.50233893182214,28,1.5962438050700822
NGC4214,18.966681218236673,14,1.5805567681863895
NGC2366,37.32220964191335,26,1.5550920684130565
UGC12732,21.635936792604348,16,1.5454240566145963
NGC2403,104.75261953802685,73,1.4753890075778429
UGC03205,64.04875729200764,48,1.3923642889566878
F563-V2,10.954565765091592,10,1.369320720636449
UGC02487,20.523338999326977,17,1.3682225999551318
UGC06923,5.467667297089519,6,1.3669168242723797
NGC7793,57.98880473406808,46,1.3179273803197291
NGC2976,32.82910948991037,27,1.313164379596415
NGC2915,36.67614220380506,30,1.3098622215644664
NGC5907,21.94038775909384,19,1.290611044652579
UGC04483,7.628700385992129,8,1.2714500643320215
UGC05999,3.8039064214453213,5,1.2679688071484405
NGC4068,4.991256520862184,6,1.247814130215546
UGC02885,21.054074263453245,19,1.2384749566737203
UGCA281,6.157608527771818,7,1.2315217055543637
UGC08490,34.42334560594395,30,1.229405200212284
NGC3917,18.161470718635215,17,1.210764714575681
NGC3972,9.53816233373609,10,1.1922702917170112
F563-V1,4.650729642011575,6,1.1626824105028937
