galaxy,chi2,chi2_red,N,rho0,r_core
NGC3893,94.88621162508252,11.860776453135315,10,6207538.592694695,8.735675671817953
NGC6946,619.483432516416,11.062204152078857,58,1191328.3043677553,14.704539447744995
NGC5371,186.94412325900802,10.996713132882824,19,5063623.963119568,1.4317479024082391
UGC00731,94.26534160713257,9.426534160713256,12,49106165.03924832,1.4662588932655611
NGC5033,180.9095670099613,9.045478350498065,22,6824171.40778619,10.039582931849989
UGC07399,70.98415365954025,8.873019207442532,10,73253168.89452629,2.2076891699466508
ESO563-G021,246.61688857774953,8.807746020633912,30,6177626.994295151,18.470237049214845
UGC11557,87.02726014290523,8.702726014290523,12,3207112.2273354507,1.4730921351276771
CamB,55.891537767668346,7.984505395381192,9,1554027.190588442,5.631414915222764
UGC05253,555.5491655470968,7.824636134466152,73,3082618.611649204,17.782298355770155
UGC02953,851.3580190237277,7.534141761271926,115,3213079.21902159,23.89101159047204
UGC06787,482.20684714073127,6.988505031025091,71,8797090.430717058,14.660583500695104
NGC5585,144.66423503937318,6.575647047244235,24,6451042.669138531,8.02812966410952
UGC07232,13.045322305834986,6.522661152917493,4,27740930.555359498,6.074231526373775
PGC51017,25.358937049617982,6.3397342624044954,6,1741497.92874094,1.095150839033864
UGC09133,398.45105883679304,6.037137255102925,68,2336907.952935367,20.222896532999016
ESO444-G084,28.972821835332724,5.7945643670665445,7,49218990.92471667,1.9166412880974035
UGC06614,63.02354793045775,5.729413448223432,13,1835868.698533048,22.857358980024284
D512-2,10.995277912197638,5.497638956098819,4,7255212.214299421,4.782165425898979
NGC3769,53.215350408793874,5.321535040879388,12,4982883.451998424,7.420796867926538
NGC1090,113.04731743550701,5.138514428886682,24,2549413.7175185587,12.247792105794892
NGC3953,28.178430330277987,4.696405055046331,8,6056021.775717931,2.330287825013145
NGC7814,72.83882970844469,4.552426856777793,18,10912156.063215798,10.950174630073684
NGC5985,135.69150900285229,4.377145451704912,33,106643296.81330076,3.2596464465519506
UGC05721,85.12703159640394,4.05366817125733,23,70803229.80526893,1.5914346239422372
UGC06667,25.812790381126135,3.6875414830180193,9,46083048.61948727,2.090046224181982
UGC00191,25.131879585331625,3.590268512190232,9,55628800.44910787,1.4848345636916764
UGC06818,21.195353536936945,3.5325589228228242,8,5524367.664203169,8.840080357376866
NGC4010,34.38587741370351,3.438587741370351,12,4961699.44980301,9.410149061515655
UGC08699,122.84897351151494,3.1499736797824345,41,7589229.573002019,10.30268922411681
UGC08550,27.860350679923314,3.0955945199914794,11,40877972.53007463,1.4299945499623783
NGC2683,27.421798559688405,3.046866506632045,11,6835075.60572497,6.614843402309501
NGC1705,36.253396668719745,3.0211163890599786,14,67561302.98525271,1.5955179049547352
UGC04305,60.311417339128894,3.0155708669564447,22,2207670.037794274,0.7934484135624292
NGC6503,85.52136267399347,2.9490125059997747,31,8295218.741365468,6.073401439508788
NGC0247,70.31103246257115,2.9296263526071313,26,33277672.222688045,2.045166376924025
NGC4013,93.75103382289723,2.7573833477322713,36,1833680.185585868,28.86053851496309
UGC08837,16.51139442609866,2.7518990710164437,8,3546012.439751482,7.3339758053571265
UGCA442,16.437023265464244,2.739503877577374,8,17861825.915109012,2.5001087746547883
NGC4138,13.532273798845605,2.706454759769121,7,8529440.775250051,5.58605835955185
UGC07261,13.46052945548349,2.692105891096698,7,10649716.743958913,4.807701155269402
F574-2,7.960283519632822,2.653427839877607,5,3901005.693222197,1.8050796123387465
UGC10310,12.857071130119824,2.5714142260239647,7,13893030.945467804,3.154678453969426
UGC05716,24.369349134294186,2.4369349134294187,12,27618596.771480333,2.054179188050891
UGC05918,14.566356214040967,2.4277260356734947,8,13235365.10827304,2.453645034572079
UGC06628,12.042995693870047,2.4085991387740093,7,3670882.7488645497,1.8371146238754792
NGC2998,25.96350869177143,2.360318971979221,13,5866568.356282179,9.08342522176846
NGC4559,70.39394286258758,2.3464647620862524,32,2268738.324381344,14.304856680729106
UGC11820,18.449461883718392,2.306182735464799,10,13430759.821415788,3.2115428716654715
F579-V1,27.390427480997516,2.2825356234164595,14,43229909.37136308,2.264687228743037
DDO168,17.41840693324538,2.1773008666556724,10,15872405.916403027,3.231206353033543
NGC0024,54.13589788354591,2.0050332549461447,29,78152465.08445594,1.799738535505147
F561-1,7.707434054117084,1.926858513529271,6,3862995.803075672,1.6589716426097445
UGC08286,27.57122947031293,1.8380819646875286,17,74160456.2651884,1.4125299468039965
DDO170,10.504448909293215,1.7507414848822025,8,12403189.029518755,2.56257833111887
ESO079-G014,22.476119379612346,1.7289322599701804,15,9406889.250480462,8.140515229551431
